locale	Language name	Decimal period or comma?	multiplication	Division	Thousand separator	Repeating decimals	Abbreviation for trigonometric functions	Coordinates	Open interval (a,b)	Closed interval [a,b]	angle	angle measurement	line	segment	ray	Number line arrow(s), graph axes, <---> or ---> only	Right angle	You can skip the rest of the columns for now		LCM	GCD	long division format	Multi-digit  multiplication format	derivative	Logarithm notation	multiplication		Way to express quotation	Capitalization Conventions	Title Capitalization?	enumeration	dollar 	Mixed numbers
en	English	period (e.g. 3.14159)	"x" for lower grades (e.g. 5 x 6), dot for more advanced math (5 ⋅ 6)	\div	1,000,000,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cot, csc, sec	(5.5, 3.5)	(a,b)	[a,b]	\angle{ABC}, ∠ABC	m\angle{ABC}, m∠ABC=60°	\overleftrightarrow{AB}	\overline{AC}	\overrightarrow{AB}	<--->	small square			\lcm	\gcd	divisor | \overline{divident}			log, ln	(5)(6)		" "			a, b, c, and d		
am	Amharic	period (e.g. 3.14159)			1,000,000,000																												
ar	Arabic																																
as	Assamese	period (e.g. 3.14)	"x" e.g. 5 x 12 "⋅" in Algebra (higher grades) for example: "x ⋅ y"	÷ in primary school or  / in middle school and higher	1,000,000,000,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cot, cosec, sec	(x,y)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB or a	AB or AB with a line over it	AB with a ray over it	<--->	L with a small square in the corner																
az	Azerbaijani	comma, e.g. 3,16	5 ⋅ 6	\mathbin{:}	1 000 000 000	0,(3) ; 1,(12)	sin, cos, tg, ctg, cosec, sec	(5,5 ; 3,5) 	(a;b)	[a;b]	∠ABC, α, β, θ	∠ABC=60°	small letter:  a, b, c, d	AB with line over it	AB with line and point over it	---> only, only right arrow for x-absis, only up arrow for y-axis	small square			ƏKOB	ƏBOB	550:10=55 	      256                             x    527                      ---------                ....1792                         ....512                1280                        ---------                  134912	f'(x)	log, ln	5(6+2), 5 x 6, 5⋅6,  yx    		"  "  	NO capitalization: months, days, nationalities. 	Capitalize each letter like  "Khan Academy".  	a, b, c və d	local currency is  manat (code: AZN), symbol ₼     	5 \\dfrac{5}{3}
bg	Bulgarian	comma, e.g., 3,14	"x" or period	\mathbin{:}	1 000 000 000	0,(3) ; 1,(12)	sin, cos, tg, ctg, cosec, sec	(5,5; 3,5)	(a; b)	[a; b]	∠ABC, α, β, θ	∠ABC=60°	AB or one small letter: a	AB or a, with line over it	AB, where A is the starting point and B is an arbitary point laying on the ray;		arc with a dot			Cyrillyc: НОК	Cyrillyc: НОД	the arrows are just for illustration purposes (usually not written down). when there is a remainder, we write it like this:  1234 : 7 = 176 (ост.2)  https://ka-perseus-images.s3.amazonaws.com/ba36a5f2b0a4119b200d6d77e4c1ee3e636e1151.png 	256 . 527 -----------------     1792     512 1280  -----------------   134912  We first write the number with more digit, so it would be 255 . 25, and not 25 . 255.	f'(x) and df/dx	log, lg (logarithm base 10), ln  We don't use log to note logarithm base 10, we use lg for that purpose.	5 . 6		„ “	Titles: Capitalize only the first letter of the first word, e.g. Silicon Valley = Силициевата долина. Lowercase: nationalities, languages (e.g. I speak French = Аз говоря френски), months (e.g., January = януари), days of the week (Monday = понеделник). Lower case populations (All the French = Всички французи)		a, b, c, d a, б, в, г	долар; local curency is Leva (BGN)	5 \\dfrac{5}{3}
bn	Bengali	period (e.g. 3.14159)	"x" for lower grades (e.g. 5 x 6), dot for more advanced math (5 ⋅ 6) 	 ÷, \	1,000,000,000		sin, cos, tan, cot, cosec, sec 	(5,5), (3,5) 	(a,b)	 [a,b]	∠ABC 	∠ABC=60°	AB 	AB (in all math), AB with a line (indicating right side) over it (only in vector)	AB	<--->	small square			LCM (in english), লসাগু (in Bangla)	 GCD (in english), গসাগু (in Bangla)			 f'(x) and df/dx	log, ln	"x" for lower grades (e.g. 5 x 6), 5.6 or 5 (6+2) for more advanced math 		" "	Capital: nationalities, languages, months, days of the week; name of the population, regio, degree followed by name, religion, name of day, year, holiday, geographic,location followed by name, title etc.	Capitalize only the first letter	a, b, c and d (no comma before and)	$, local currency is BDT which stands for Bangladeshi Taka. sign is ৳	same as english
cs	Czech	comma, e.g. 3,14	5 ⋅ 6	\mathbin{:}	1 000 000 000 000	0.\overline{3} ; 1.\overline{12}	sin,cos,tg,cotg,cosec,sec	[5,5; 3,5] or [4, 8] simple brackets ( ) are also possible, but less common	(a,b)	<a,b>	∠ABC 	|∠ABC| = 60°	small letter, a, b, p, q	AB for the segment	AB, with arrow over it	---> only, only right arrow for x-absis, only up arrow for y-axis	arc with a dot			nsn	NSD	divident : divisor  (6250 : 25 = 250)		<code>f '(x)</code>, on later stages also <code>\\dfrac{d}{dx}f(x)</code>	log, ln 	5 ⋅ 6		„ “		no	a, b, c a d	$, local currency Czech Crown (CZK)	$
da	Danish	comma, e.g., 3,14	5 ⋅ 6	\mathbin{:}	1.000.000.000	0.\overline{3} ; 1.\overline{12}	sin, cos, tan, cot, csc, sec	(5,3) or (5,5; 3,5) if one or both coordinates is a decimal	]a;b[	[a;b]	∠ABC 	∠ABC=60°	AB	|AB|	no special notation	---> only, only right arrow for x-absis, only up arrow for y-ordinat	small square			MFM	SFF	divisor | \overline{divident}		f'(x)	log, ln	5 ⋅ 6		" "				euro	5 \\dfrac{5}{3}
de	German	comma, e.g. 3,14	5 ⋅ 6	\mathbin{:}	1 000 000 000 000	0,\overline{3} ; 1,\overline{12}	sin, cos, tan, cot, csc, sec	(5,5 | 3,5)	(a;b)	[1; 2,5]	∠ABC, α, β, θ	∠ABC=60°	small letter	AB , with line over it	AB, with arrow over it	<---> or --->, only right arrow for x-absis, only up arrow for y-ordinat	arc with a dot 			kgV	ggT	6250 : 25 = 250	    256 ⋅527    1280        512 +      1792     134912 	f'(x)	log, ln	(x+4)(x-3)		,,''	Capital: nationalities, languages, months, days of the week; name of the population; all nouns; all adjectives used like nouns, after punctuation (. or :), always lowercase viel, wenig, andere (die andern, etwas anderes), and there are more exceptions 	No, Same as any other sentence.	a, b, c und d	Euro	5 \\dfrac{5}{3}
el	Greek	comma, e.g. 3,15	"x" in primary school, dot at higher level education	\over, {}:{} (α/β, α:β)	1.000.000 (for 1 million)	0,\overline{3} 1,\overline{12}	sin, cos, tan, cot, csc, sec	(5,5), (3,5)	(a,b)	[a;b]	\widehat {ABC}	\widehat {ABC} = 60°	ΑΒ	AB , with line over it	AB, with arrow over it		L			ΕΚΠ	ΜΚΠ			f'(x) and df/dx		5 x 6, 5(5+7), 5 x (6+7),yx, y ⋅ x		" "		Capitalize only the first letter, except "Khan Academy" that stays always the same		$, local currency euro (€)	same as english
es	Spanish	period (e.g. 3.14159)	"x" or dot (e.g. 5 x 6 or 5 ⋅ 6)	\div	1,000,000,000,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cot, csc, sec	(5.5, 3.5)	(a,b)	[a,b]	∠ABC 	m\angle{ABC}, m∠ABC=60°	AB	AB, with line over it	no special notation, just AB					MCM	MCD	divisor | \overline{divident}		For elementary level (begining of high school) we don't use df/dx, but only f '(x). Would it be possible to change <code>\\dfrac{d}{dx}f(x)</code> for <code>f '(x)</code>?	log, ln	5 ⋅ 6		" "		Igor: No. http://spanish.stackexchange.com/questions/1755/when-is-uppercase-used-in-english-but-lowercase-in-spanish	a, b, c, and d	$	5 \\dfrac{5}{3}
fa	Farsi																																
fa-af	Dari																																
fr	French	comma, e.g. (3,14159	5 × 6	÷	1 000 000 000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cot, csc or cosec, sec	(5,5 ; 3,5) 	]a,b[	[a,b]	\widehat {ABC}	\widehat {ABC} = 60°	(AB)	[AB]	[AB)	---> only	square			PPCM	PGCD		??? What do you mean?	For elementary level (begining of high school) we don't use df/dx, but only f '(x).	log, ln	5 × 6	???	" "	Capital: name of the population, nationalities, all words after punctuation (.). Always lowercase for languages, months, days of the week.	No. Same as any other sentence.	a, b, c et d	Euro symbol ex: 8 €	We don't use it. Only improper fractions.
fv	Fulfulde																																
gu	Gujarati	period (e.g. 3.14)	"x" e.g. 5 x 12 "⋅" in Algebra (higher grades) for example: "x ⋅ y"	÷ in primary school or  / in middle school and higher	1,000,000,000,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cosec, sec, cot	(x,y)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB or a	AB or AB with a line over it	AB with a ray over it	<--->	L with a small square in the corner																
he	Hebrew	comma			1,000,000,000,000																												
hi	Hindi	period (e.g. 3.14)	"x" e.g. 5 x 12 "⋅" in Algebra (higher grades) for example: "x ⋅ y"	÷ in primary school or  / in middle school and higher	10,00,00,00,00,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cosec, sec, cot	(x,y)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB or a	AB or AB with a line over it	AB with a ray over it	<--->	L with a small square in the corner									5 ⋅ 6, ab, 5x6		" "					
hu	Hungarian	comma, e.g. 3,15	5 ⋅ 6	\mathbin{:}	No space or comma before 10 000, space after. 1 000 000 000	0{,}\dot{3} 0{,}\dot{0}7692\dot{3}	sin, cos, tg, ctg, csc, sec	(5,5 ; 3,5)	]a,b[	[a,b]	α, β, θ or ABC∠	ABC∠=60°	small letter, a, b, c	AB	no special notation	--> (right arrow) only.	arc with a dot 			LKKT	LNKO	32’6’4’: 24 = 136  -   24        86   -    72        144   -    144            0	    256 ⋅ 527    1280       512 +    1792   134912 	f(x)	log (when it is log10 we just write lg instead), ln	5(6+2), 5 ⋅ 6		„”	NO capitalization: months, days, nationalities. 	Capitalize only the first letter.	a, b, c és d	dollár, local currency: forint 	5 \\dfrac{5}{3}
hy	Armenian	comma (e.g. 3,14159)	5 ⋅ 6	\mathbin{:}	1000000000	3,16(7) or 5,(7)	sin, cos, tg, ctg, csc, sec	(5,5; 3,5)	(a; b)	[a; b]	∠ABC or α, β, θ	∠ABC=60°	AB or a	AB	AB or a	 ---- 				Ամենափոքր ընդհանուր բազմապատիկ/ ԱԸԲզ	Ամենամեծ ընդհանուր բաժանարար/ ԱԸԲժ		      256                             x    527                      ---------                ....1792                         ....512                1280                        ---------                  134912	f'(x) and df/dx	log (when it is log10 we just write lg instead), ln	5(6+2), 5 ⋅ 6		« »	Proper nouns, words after :  We have a number of special cases and exceptions	No. Same as any other sentence.	a, b, c և d ա, բ, գ և դ	$, dollar (ԱՄՆ դոլար, դոլար), local currency - dram (դրամ)	5 \\dfrac{2}{3}
id	Indonesian	comma, e.g. 3,14	x for primary school, dot for higher level	: or ÷	1.000.000.000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cot, cosec, sec	(5,5), (3,5) (5,5 ; 3,5)	(a, b)	[a, b]	∠ABC or ABC or α, β, θ	∠ABC=60°	AB	segment AB (primary school) AB, with line over it (high school)	ray AB (primary school) AB, with arrow over it (high school)	--->	small square OR ∟			KPK	FPB	https://i.ytimg.com/vi/60vQweZLnuY/maxresdefault.jpg	https://i.ytimg.com/vi/GZVYsT5aRHw/maxresdefault.jpg or https://i.ytimg.com/vi/G9FIg2mMMWs/maxresdefault.jpg	f'(x) and df/dx		5 x 6 (primary school), 5 ⋅ 6 or 5 (6 + 2)(high school)		" "	sorry, too many capitalization conventions in Indonesia... basically, capitalization is for: - the first letter - name, degree followed by name - religion - name of day, month, year, holiday - geographic location followed by name - title - etc.	Capitalize each first letter, except for conjunction, e.g. "We are Khan Academy"	a, b, c, d	$, but we prefer Rupiah (Rp1.000.000,00)	5 \\dfrac{5}{3}
is	Icelandic	comma, e.g. 3,14			1.000.000.000																												
it	Italian	comma, e.g. 3,14 except scientific notation; however in higher education students see both comma and period for decimals	"x" in primary school, dot at higher level education, then in higher education "x" is for vectorial product only, the dot for scalar product and algebra	\mathbin{:}	1˙000˙000 or 1 000 000		sen	(5,5 ; 3,5) or (4, 8)	(a,b)	[a,b]	"angolo BAC", or a hat ˆ on the vertex (e.g. a hat on A in angle BAC or on angle A), or greek letters (later); 	we DON'T USE m∠BAC to indicate the measure	small letter, a, b, p, q	AB for the segment, AB with line over it for the measure	small letters ("semiretta p")	---> only, only right arrow for x-absis, only up arrow for y-ordinat				mcm (written lowercase)	MCD (all capital letters)	see here, dividend on the left, divisor on the right, and in line dividend : divisor		<code>f '(x)</code>, on later stages also <code>\\dfrac{d}{dx}f(x)</code>		5 x 6 , 5 ⋅ 6		" "	lowercase: nationalities, languages (e.g. I speak French = Io parlo francese), months (e.g. January = gennaio), days of the week (Monday = lunedì); uppercase: name of the population 	Capitalize only the first letter, except "Khan Academy" that stays always the same	a, b, c e d	$, local currency euro (€)	We don't use it. Only improper fractions. 
ja	Japanese	period (e.g. 3.14159)	"x" for lower grades (e.g. 5 x 6), dot for more advanced math (5 ⋅ 6)	\div	1,000,000,000		sin, cos, tan, cot, cosec, sec	(5.5, 3.5)	(a,b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB	AB with line over it	no special notation	< ---- > 	small square			LCM or  最小公倍数  	GCD or  最大公約数	Same as US, divisor | \overline{divident}	Same as US	f'(x) and df/dx	log,ln are used, but usually the base is present. The common case is log_{10}, log_{e}. (ln is used as log_{e}.)	5 × 6		「」	There is no concept of capital letter.	There is no concept of capital letter.	a, b, c, d	dollar stays dollar,  local currency ￥ (円)	same as English
